simTime,platformIndex,x,y,z,vx,vy,vz,damage
140.0,1,-745446.8379785747,-6981626.514287716,836804.177373509,4092.81201171875,273.0005798339844,5933.07958984375,0.0
140.0,2,749490.3584282029,6995571.283427217,-835150.6075082524,-4082.46728515625,-270.6739196777344,-5921.6171875,0.0
150.0,1,-704474.9031164963,-6978534.640087869,896087.79887796,4101.5751953125,345.374267578125,5923.64501953125,0.0
150.0,2,708621.9105318842,6992504.151168697,-894319.9789344985,-4091.22216796875,-342.7525329589844,-5912.2568359375,0.0
150.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
150.0,1,-704475.4926294435,-6978534.7162671,896086.684750676,4101.39794921875,345.3511047363281,5923.310546875,0.0
150.0,2,708622.4941538313,6992504.225307672,-894318.8733833401,-4091.047119140625,-342.72998046875,-5911.92529296875,0.0
160.0,1,-663419.4695014043,-6974719.574896027,955269.2770006503,4109.806640625,417.67718505859375,5913.2080078125,0.0
160.0,2,667670.0027874882,6988716.764152489,-953388.0104680674,-4099.451171875,-414.7622375488281,-5901.90185546875,0.0
160.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
160.0,1,-663420.0607205827,-6974719.663780632,955268.1647565872,4109.62890625,417.65020751953125,5912.8740234375,0.0
160.0,2,667670.5881083544,6988716.850784518,-953386.906741541,-4099.275390625,-414.7359619140625,-5901.57080078125,0.0
170.0,1,-622283.5022336844,-6970181.807489535,1014343.0558986821,4117.6826171875,489.9210510253906,5902.10400390625,0.0
170.0,2,626637.5707856023,6984209.599148267,-1012349.1886437718,-4107.328125,-486.7143859863281,-5890.88525390625,0.0
170.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
170.0,1,-622284.095110492,-6970181.909066855,1014341.9456643101,4117.50439453125,489.8902587890625,5901.77099609375,0.0
170.0,2,626638.1577591172,6984209.698261633,-1012348.0868645071,-4107.15185546875,-486.684326171875,-5890.5546875,0.0
180.0,1,-581070.5640447432,-6964921.966271493,1073302.4760953172,4125.20166015625,562.0982666015625,5890.3349609375,0.0
180.0,2,585528.1418401556,6978983.269457781,-1071196.9046131086,-4114.8515625,-558.6014404296875,-5879.20849609375,0.0
180.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
180.0,1,-581071.158530496,-6964922.080527352,1073301.3679968915,4125.02294921875,562.063720703125,5890.00244140625,0.0
180.0,2,585528.7304199863,6978983.381039325,-1071195.8049035254,-4114.6748046875,-558.567626953125,-5878.87890625,0.0
190.0,1,-539784.2272452202,-6958940.75572101,1132140.8911209959,4132.36328125,634.2012939453125,5877.90185546875,0.0
190.0,2,544345.252832044,6973038.463198696,-1129924.5621316,-4122.02099609375,-630.4159545898438,-5866.87255859375,0.0
190.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
190.0,1,-539784.8232905702,-6958940.882639723,1132139.7852844652,4132.18408203125,634.1629028320312,5877.5703125,0.0
190.0,2,544345.8429711884,6973038.587234138,-1129923.4646139243,-4121.84375,-630.37841796875,-5866.54345703125,0.0
200.0,1,-498428.0734295763,-6952238.956297477,1190851.6682688522,4139.166015625,706.222412109375,5864.80615234375,0.0
200.0,2,503092.4499278208,6966375.943217093,-1188525.578291911,-4128.8349609375,-702.150390625,-5853.87939453125,0.0
200.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
200.0,1,-498428.6709854459,-6952239.095862142,1190850.5648199467,4138.986328125,706.1802368164062,5864.47509765625,0.0
200.0,2,503093.0415795532,6966376.079690745,-1188524.4830881085,-4128.6572265625,-702.109130859375,-5853.55078125,0.0
210.0,1,-457005.69318106154,-6944817.42433735,1249428.189348857,4145.609375,778.1541137695312,5851.0498046875,0.0
210.0,2,461773.28829873307,6958996.546991246,-1246993.3842553997,-4135.29345703125,-773.79736328125,-5840.2294921875,0.0
210.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
210.0,1,-457006.2921980361,-6944817.576529784,1249427.0884130218,4145.42919921875,778.1080932617188,5850.71923828125,0.0
